Groups, Counts, Rates (Hz), Pure Counts, Pure Rates (Hz), Shared Counts, Shared Rates (Hz)
TAU, 8, 8, 5, 5, 5.56111111111, 5.56111111111
BTV, 3, 3, 3, 3, 3.0, 3.0
TSG, 0, 0, 0, 0, 0, 0
ECAL, 22, 22, 0, 0, 2.75, 2.75
BPH, 110, 110, 104, 104, 106.375, 106.375
TOP, 250, 250, 13, 13, 82.6182539683, 82.6182539683
HIG, 159, 159, 14, 14, 47.5099206349, 47.5099206349
TRK-DPG, 0, 0, 0, 0, 0, 0
SMP, 326, 326, 109, 109, 167.651587302, 167.651587302
HCAL, 0, 0, 0, 0, 0, 0
RPC, 0, 0, 0, 0, 0, 0
TRK-POG, 0, 0, 0, 0, 0, 0
SUS, 178, 178, 0, 0, 36.3682539683, 36.3682539683
EGM, 77, 77, 12, 12, 24.7035714286, 24.7035714286
EXO, 485, 485, 179, 179, 273.901587302, 273.901587302
B2G, 129, 129, 0, 0, 23.5849206349, 23.5849206349
MUO, 1426, 1426, 1341, 1341, 1366.57896825, 1366.57896825
ALCA, 35, 35, 0, 0, 4.36111111111, 4.36111111111
LUMI, 0, 0, 0, 0, 0, 0
JME, 154, 154, 124, 124, 131.035714286, 131.035714286
