Streams, Counts, Rates (Hz)
PhysicsMuons, 1539, 1539
PhysicsEGamma, 259, 259
PhysicsZeroBias2, 237, 237
PhysicsZeroBias3, 237, 237
PhysicsZeroBias1, 237, 237
PhysicsCommissioning, 484, 484
RPCMON, 680, 680
PhysicsHadronsTaus, 502, 502
ALCALUMIPIXELS, 237, 237
PhysicsZeroBias4, 237, 237
Parking, 3419, 3419
PhysicsHLTPhysics2, 10017, 10017
PhysicsHLTPhysics3, 10017, 10017
PhysicsHLTPhysics1, 10017, 10017
ScoutingCaloMuon, 401, 401
ALCAP0, 1109, 1109
PhysicsHLTPhysics4, 10017, 10017
ALCAPHISYM, 333, 333
