Groups,  Counts,  Rates (Hz),  Pure Counts,  Pure Rates (Hz),  Shared Counts,  Shared Rates (Hz)
MUO, 1426, 73410.55, 1341, 69034.75, 1366.57896825, 70351.56
EXO, 485, 24967.82, 179, 9214.93, 273.901587302, 14100.47
SMP, 326, 16782.5, 109, 5611.33, 167.651587302, 8630.71
JME, 154, 7927.93, 124, 6383.53, 131.035714286, 6745.73
BPH, 110, 5662.81, 104, 5353.93, 106.375, 5476.19
TOP, 250, 12870.01, 13, 669.24, 82.6182539683, 4253.19
HIG, 159, 8185.33, 14, 720.72, 47.5099206349, 2445.81
SUS, 178, 9163.45, 0, 0.0, 36.3682539683, 1872.24
EGM, 77, 3963.96, 12, 617.76, 24.7035714286, 1271.74
B2G, 129, 6640.93, 0, 0.0, 23.5849206349, 1214.15
TAU, 8, 411.84, 5, 257.4, 5.56111111111, 286.29
ALCA, 35, 1801.8, 0, 0.0, 4.36111111111, 224.51
BTV, 3, 154.44, 3, 154.44, 3.0, 154.44
ECAL, 22, 1132.56, 0, 0.0, 2.75, 141.57
TRK-POG, 0, 0.0, 0, 0.0, 0, 0.0
LUMI, 0, 0.0, 0, 0.0, 0, 0.0
TSG, 0, 0.0, 0, 0.0, 0, 0.0
TRK-DPG, 0, 0.0, 0, 0.0, 0, 0.0
RPC, 0, 0.0, 0, 0.0, 0, 0.0
HCAL, 0, 0.0, 0, 0.0, 0, 0.0
