Stream, Dataset,  Counts,  Rates (Hz)
PhysicsMuons, SingleMuon, 32, 344.02
PhysicsMuons, Charmonium, 10, 107.51
PhysicsMuons, DoubleMuonLowMass, 8, 86.01
PhysicsMuons, DoubleMuon, 6, 64.5
PhysicsMuons, MuonEG, 2, 21.5
PhysicsMuons, MuOnia, 0, 0.0
PhysicsEGamma, EGamma, 31, 333.27
PhysicsHadronsTaus, Tau, 9, 96.76
PhysicsHadronsTaus, JetHT, 8, 86.01
PhysicsHadronsTaus, MET, 3, 32.25
PhysicsHadronsTaus, BTagMu, 3, 32.25
PhysicsHadronsTaus, DisplacedJet, 0, 0.0
PhysicsCommissioning, ZeroBias, 10, 107.51
PhysicsCommissioning, HLTPhysics, 2, 21.5
PhysicsCommissioning, NoBPTX, 1, 10.75
PhysicsCommissioning, Commissioning, 1, 10.75
PhysicsCommissioning, HighPtPhoton30AndZ, 0, 0.0
PhysicsCommissioning, IsolatedBunch, 0, 0.0
PhysicsCommissioning, HighPtLowerPhotons, 0, 0.0
, Sum, 126, 1354.59
